Company,Fine_Amount,Date,Sector,Type,Country,Authority,Source_URL,PDF_URL
sei unerheblich. Soweit die Exponentialverteilung aufgrund von Konvergenzproblemen keine Ergebnisse,,2022-03-16,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2022-03-16-3-kart-7219-v,
in einem Portemonaie aufbewahrt hatte. Die Versicherung erstattete den Geschädigten einen Betrag,,2021-06-29,Ordentliche Gerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-hagen-2021-06-29-46-kls-3119,
hrleistung der Aufrechterhaltung des technischen Standes der erneuerten IT in der Zielbetriebsphase,,2019-03-26,,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgk-2019-03-26-3-u-3018,
gab es vom streitgegenständlichen Bebauungsplan noch nicht einmal einen Entwurf. Möglicherweise lag,,2022-04-25,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vghbw-2022-04-25-3-s-311519,
die mit der Auseinandersetzung zwischen Arazim und Honoua um die Gesellschaftsanteile der UNCC GmbH,,2020-09-10,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-koln-2020-09-10-19-k-476918,
dass der EZB-Rat seine geldpolitischen und aufsichtlichen Funktionen in vollkommen getrennter Weise,,2019-07-30,Verfassungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/bverfg-2019-07-30-2-bvr-168514-2-bvr,
Der begehrte Schadensersatz wegen infolge kartellrechtswidrigen Handelns überhöhter Marktpreise,,2019-06-06,Ordentliche Gerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/lg-stuttgart-2019-06-06-30-o-3817,
wird nochmals gesteigert durch die Veränderbarkeit der tatsächlichen und rechtlichen Verhältnisse,,2020-06-19,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-hamburg-2020-06-19-7-k-619315,
wenn entsprechend langfristige Pachtverhältnisse bestehen. Für die insoweit anzustellende Prognose,,2020-09-16,Verwaltungsgerichtsbarkeit,Urteil,Germany,OpenLegalData,https://de.openlegaldata.io/cases/vg-schwerin-2020-09-16-7-a-140817-sn,
gen nur sehr unzureichend erfasst. Es seien auch die Kosten der Finanzierung zu betrachten. Diese,,2020-08-12,,Beschluss,Germany,OpenLegalData,https://de.openlegaldata.io/cases/olgd-2020-08-12-3-kart-89418,
