enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
VTG24-69799,DE,Radeberger Gruppe KG,beverages,competition-related offenses,anti-competitive practices,2014-04-02,188306000,Federal Cartel Office-Bundeskartellamt,In 2014 the Bundeskartellamt imposed fines amounting to 231.2 million Euros against a group of breweries in its proceedings concerning illegal price fixing agreements for beer. The Bundeskartellamt did not specify how much each company would pay. Radeberger initially appealed its fine but in 2018 it agreed to pay 160 million euros: (click here),https://www.inside.beer/news/detail/germany-radeberger-finally-withdraws-appeal-in-beer-cartel-case/
VTG24-69792,DE,ArcelorMittal Commercial Long Deutschland GmbH,metals,competition-related offenses,anti-competitive practices,2018-07-12,146000000,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling approximately 205 million euros on six special steel companies, a trade association and ten individuals for concluding price-fixing agreements and exchanging competitively sensitive information. The Bundeskartellamt did not specify how much each company would pay, but ArcelorMittal disclosed on page 31 of its 2018 annual report that it paid USD$146 million: (click here)",https://annualreview2018.arcelormittal.com/~/media/Files/A/Arcelormittal-AR-2018/AM_AnnualReport_2018.pdf
VTG24-69811,DE,ThyssenKrupp GfT Gleistechnik GmbH,diversified,competition-related offenses,anti-competitive practices,2012-07-05,110619000,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines totalling 124.5 million euros on four rail manufacturers and suppliers for concluding anticompetitive agreements to the detriment of Deutsche Bahn AG. ThyssenKrupp GfT Gleistechnik GmbH was fined 103 million euros: (click here). That was later revised to 88 million euros.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2012/05_07_2012_Schienenkartell.html
VTG24-75469,DE,Continental AG,automotive parts,environment-related offenses,air pollution violation,2024-04-25,106952000,German Court System,"The public prosecutor's office in Hanover issued a fine totaling EUR 100 million against Continental AG and individual subsidiaries because of a negligent breach of supervisory duties in connection with the supply of engine control units and engine control unit software. The fine, linked to the Dieselgate emissions scandal, related to the business activities of Continental's former powertrain division, which was spun off to form Vitesco Technologies in 2021.",https://www.continental.com/en/press/press-releases/20240425-group/
VTG24-69859,DE,Bosch,automotive parts,environment-related offenses,air pollution violation,2019-05-23,100431900,German Court System,Bosch agreed to pay 90 million euros to settle a case brought by German prosecutors over the company's role in the diesel emissions cheating scandal.,https://www.reuters.com/article/us-bosch-emissions-fine/prosecutors-fine-bosch-90-million-euros-for-emissions-cheating-role-idUSKCN1ST10C/
VTG24-69863,DE,Airbus Defence and Space GmbH,aerospace and military contracting,competition-related offenses,kickbacks and bribery,2018-02-09,99595438,German Court System,Airbus agreed to pay over 80 million euros to resolve a bribery investigation by the Munch Public Prosecutor.,https://www.airbus.com/en/newsroom/press-releases/2018-02-munich-public-prosecutor-ends-eurofighter-austria-investigation
VTG24-69784,DE,BayWa AG,agribusiness,competition-related offenses,anti-competitive practices,2020-01-13,75586760,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines of 154 million euros against seven producers of crop protection products. The agency did not specify how much each company would pay, but coverage of BayWa's unsuccessful challenge to the penalty reported that its share was 68 million euros: (click here)",https://www.lexology.com/commentary/competition-antitrust/germany/fieldfisher/federal-court-of-justice-rejects-baywas-official-liability-suit-against-fco
VTG24-69787,DE,Voestalpine Grobblech GmbH,metals,competition-related offenses,anti-competitive practices,2019-12-12,72681400,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling around 646 million euros on Ilsenburger Grobblech GmbH, thyssenkrupp Steel Europe AG and voestalpine Grobblech GmbH as well as three individuals responsible for exchanging information on and agreeing certain price supplements and surcharges for steel plates in Germany. The Bundeskartellamt did not specify how much each company would pay, but voestalpine Grobblech's parent voestalpine AG disclosed on page 167 of its annual report that it paid 65.5 million euros: (click here)",https://www.voestalpine.com/group/static/sites/group/.downloads/en/publications-2019-20/2019-20-annual-report.pdf
VTG24-69868,DE,Julius Baer,financial services,financial offenses,tax violations,2011-04-14,72388000,German Court System,Julius Baer agreed to pay 50 million euros to resolve allegations it helped German clients evade taxes.,https://www.reuters.com/article/juliusbaer/update-3-julius-baer-coughs-up-to-close-german-tax-probe-idUSLDE73D03320110414/
VTG24-69822,DE,Essilor GmbH,apparel,competition-related offenses,anti-competitive practices,2010-06-10,59944000,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling 115 euros million on five leading manufacturers of ophthalmic lenses in Germany for their involvement in cartel agreements. The Bundeskartellamt did not specify how much each company would pay, but Essilor disclosed on page 127 of its 2010 annual report that it was fined 50 million euros: (click here)",https://www.essilor.com/essilor-content/uploads/2016/09/ESSILOR_RegistrationDocument_2010.pdf
VTG24-69817,DE,Alstom Power Systems GmbH,miscellaneous energy products and systems,competition-related offenses,anti-competitive practices,2011-10-20,57906700,Federal Cartel Office-Bundeskartellamt,"In August 2010 the Bundeskartellamt imposed fines totaling approximately 91 million euros against Alstom Power Systems GmbH and against two former directors for entering in agreements on customer allocation and on quotas and prices for utility steam generators. The company appealed, and in October 2011 the fine was reduced to 42 million euros.",https://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Kartellverbot/2011/B11-26-05.pdf?__blob=publicationFile&v=2
VTG24-69777,DE,Carlsberg Deutschland GmbH,beverages,competition-related offenses,anti-competitive practices,2023-05-02,54961000,Federal Cartel Office-Bundeskartellamt,"In 2014 the Bundeskartellamt imposed fines amounting to 231.2 million Euros against a group of breweries in its proceedings concerning illegal price fixing agreements for beer: (click here). The Bundeskartellamt did not specify how much each company would pay, but Carlsberg Deutschland's parent disclosed on page 43 of its 2014 Financial Statement that its fine was 62 million euros: (click here). Carlsberg appealed the fine. In 2023 a court changed the penalty to 50 million euros.",https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2014/02_04_2014_FernsehbiereII.html
VTG24-69790,DE,Volkswagen AG,motor vehicles,competition-related offenses,anti-competitive practices,2019-11-21,53903900,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling around 100 million euros on Bayerische Motoren Werke AG, Daimler AG and Volkswagen AG for anticompetitive practices in the purchase of long steel products. The Bundeskartellamt did not specify how much each company would pay, but there were numerous reports that VW's share was 48.7 million: (click here)",https://www.ashurst.com/en/news-and-insights/legal-updates/competition-newsletter-november-and-december-2019/cn08-bmw-daimler-and-volkswagen-fined
VTG24-84056,DE,J.P. Morgan SE,financial services,financial offenses,anti-money-laundering deficiencies,2025-11-06,51686550,Federal Financial Supervisory Authority- BaFin,"The Federal Financial Supervisory Authority (BaFin) imposed an administrative fine of 45 million euros on J.P. Morgan SE, domiciled in Frankfurt am Main, for shortcomings in the company's money laundering prevention. The credit institution culpably breached its supervisory obligations regarding internal processes for the submission of suspicious transaction reports. As a result of these procedural shortcomings, in the period from 4 October 2021 to 30 September 2022, J.P. Morgan SE systemically failed to submit suspicious transaction reports without undue delay.",https://www.bafin.de/SharedDocs/Veroeffentlichungen/EN/Massnahmen/60b_KWG_84_WpIG_und_57_GwG/neu/meldung_2025_11_06_jp_morgan_se_en.html;jsessionid=573618BA7DA13026C39925670C28837C.internet991?cms_expanded=true
VTG24-80875,DE,Vodafone GmbH,telecommunications,consumer-protection-related offenses,privacy violation,2025-06-03,51352650,Federal Commissioner for Data Protection and Freedom of Information-BFDI,"A fine of 15 million euros was imposed because Vodafone GmbH had not adequately checked and monitored partner agencies working for it in terms of data protection law ( Article 28 ( 1 ) sentence 1 GDPR ). A further fine of 30 million euros was imposed for security flaws in the authentication process when using the MeinVodafone online portal in conjunction with the Vodafone hotline. The discovered authentication vulnerabilities allowed, among other things, unauthorized third parties to access eSIM profiles.",https://www.bfdi.bund.de/SharedDocs/Pressemitteilungen/DE/2025/06_Geldbu%C3%9Fe-Vodafone.html?nn=251944
VTG24-75738,DE,Rheinmetall Defence Electronics GmbH,miscellaneous manufacturing,competition-related offenses,kickbacks and bribery,2014-12-10,45775519,German Court System,A susidiary of Rheinmetall agreed to pay a fine to end a criminal investigation of suspected bribery payments during arms deals in Greece.,https://www.reuters.com/article/markets/rheinmetall-unit-fined-37-mln-euros-in-greek-bribery-probe-idUSFWN0TT04M/
VTG24-83400,DE,H&M Hennes & Mauritz Online Shop A.B. & Co KG,retailing,consumer-protection-related offenses,privacy violation,2020-10-02,41448201,Hamburg Commissioner for Data Protection and Freedom of Information,"The Hamburg Commissioner for Data Protection, acting on behalf of the EDPB, fined H&M more than 35 million euros for improperly collecting and storing information about the health of employees and other personal information.",https://edpb.europa.eu/news/national-news/2020/hamburg-commissioner-fines-hm-353-million-euro-data-protection-violations_en
VTG24-69814,DE,Iveco Group,motor vehicles,competition-related offenses,anti-competitive practices,2012-03-07,39509400,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed a fine amounting to EUR 30 million on IVECO Magirus Brandschutztechnik GmbH, Ulm. The company was accused of having implemented illegal price-fixing and quota agreements together with three other manufacturers of fire-fighting vehicles and of having carved up the German market for fire-fighting vehicles among themselves since at least 2001.",https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2012/07_03_2012_Iveco.html
VTG24-76470,DE,Sanofi,pharmaceuticals,financial offenses,kickbacks and bribery,2014-03-03,38636920,German Court System,Sanofi was fined in connection with a bribery scandal.,https://www.reuters.com/article/business/healthcare-pharmaceuticals/former-sanofi-employees-convicted-of-bribery-in-germany-idUSL6N0M01V6/
VTG24-69779,DE,Bharat Forge Limited,metals,competition-related offenses,anti-competitive practices,2021-02-04,37610400,Federal Cartel Office-Bundeskartellamt,"On February 4, 2021 the Bundeskartellamt imposed fines totalling 35 million euros on two German steel forging subsidiaries of India's Bharat Forge Limited and an unaffiliated Germany company for their involvement in an anti-competitive exchange of information. On December 23, 2020 the Bundeskartellamt imposed fines totalling 175 million euros on five aluminium forging companies, including Bharat Forge Aluminiumtechnik GmbH, accused of engaging in illegal anti-competitive agreements. In neither case did the agency specify how much any of the individual companies would pay, but Bharat Forge disclosed it had paid the eqivalent of about 31 million euros in the two cases combined: (click here)",https://www.bharatforge.com/assets/pdf/investor/quater-results/Q4FY20-21.pdf
VTG24-69793,DE,Dirk Rossmann GmbH,retailing,competition-related offenses,anti-competitive practices,2018-03-01,36642600,Federal Cartel Office-Bundeskartellamt,"The Dusseldorf Higher Regional Court imposed a fine of 30 million euros against Dirk Rossmann GmbH, increasing a peanlty imposed by the Bundeskartellamt in 2015 for vertical price fixing in the sale of roasted coffee.",https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2018/01_03_2018_Rossmann_BGH.html
VTG24-69797,DE,Autoneum Germany GmbH,automotive parts,competition-related offenses,anti-competitive practices,2015-06-24,35410100,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling 75 million euros on five manufacturers of automotive acoustic components for anti-competitive practices. The Bundeskartellamt did not specify how much each company would pay, but Autoneum disclosed on page 3 of its 2015 annual report that it paid 31.5 million euros: (click here)",https://www.autoneum.com/wp-content/uploads/2017/09/Annual_Report_2015.pdf
VTG24-69816,DE,VK Muhlen AG,agribusiness,competition-related offenses,anti-competitive practices,2011-10-25,33041300,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed a fine of EUR 23.8 million on VK Muhlen AG on account of its involvement in illegal agreements in the sale of flour.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2011/25_10_2011_M%C3%BChlen.html
VTG24-69815,DE,Reckitt Benckiser Deutschland GmbH,household and personal care products,competition-related offenses,anti-competitive practices,2011-11-23,32419700,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt imposed fines amounting to approximately EUR 24 million on Reckitt Benckiser Deutschland GmbH for participating in illegal price agreements relating to dishwasher detergent.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2011/23_11_2011_Calgonit-Somat.html
VTG24-69788,DE,Bayerische Motoren Werke AG,motor vehicles,competition-related offenses,anti-competitive practices,2019-11-21,30992000,Federal Cartel Office-Bundeskartellamt,"The Bundeskartellamt imposed fines totalling around 100 million euros on Bayerische Motoren Werke AG, Daimler AG and Volkswagen AG for anticompetitive practices in the purchase of long steel products. The Bundeskartellamt did not specify how much each company would pay. BWM disclosed on page 13 of its 2019 annual report that it paid 28 million euros: (click here)",https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/ir/downloads/en/2020/hauptversammlung/BMW-Group-Annual-Report-2019.pdf
VTG24-69807,DE,Kraft Foods Deutschland GmbH,food products,competition-related offenses,anti-competitive practices,2013-01-31,29344300,Federal Cartel Office-Bundeskartellamt,The Bundeskartellamt fined Kraft Foods Deutschland GmbH 21.7 million for participation in phone calls with Alfred Ritter GmbH & Co. KG which involved discussions of planned price increases for chocolate bars.,https://www.bundeskartellamt.de/SharedDocs/Meldung/EN/Pressemitteilungen/2013/31_01_2013_S%C3%BC%C3%9Fwarenhersteller.html
VTG24-79479,DE,DWS,financial services,financial offenses,investor protection violation,2025-04-02,27009500,German Court System,"German prosecutors fined asset manager DWS 25 million euros after a lengthy probe found the firm guilty of greenwashing, or making misleading statements about the environmental and social credentials of its investment products.",https://www.reuters.com/sustainability/german-asset-manager-dws-fined-25-mln-eur-greenwashing-case-2025-04-02/
