enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url,case_name
VTG24-75535,KR,AXA General Insurance,financial services,consumer-protection-related offenses,privacy violation,2024.12.13,1895942,Personal Information Protection Commission,PIPC imposes a total of more than KRW 9 billion on four general insurance companies for using personal information without gaining lawful consent from data subjects for marketing purposes .,https://www.pipc.go.kr/np/cop/bbs/selectBoardArticle.do?bbsId=BS074&mCode=C020010000&nttId=10853,AXA General Insurance - privacy violation
VTG24-82164,KR,LG Uplus,diversified,consumer-protection-related offenses,telecommunications violation,2012.1.1,1893760,Korea Communications Commission,LG Uplus was fined for offering excessive subsidies to subscribers.,https://koreajoongangdaily.joins.com/2014/08/21/industry/Supersized-subsidies-lead-to-more-telecom-fines/2993881.html,LG Uplus - telecommunications violation
VTG24-72513,KR,Mercedes-Benz Korea,motor vehicles,safety-related offenses,motor vehicle safety violation,2024.3.20,1866875,"Korea Ministry of Land, Infrastructure and Transport-MOLIT",MOLIT fined a group of major automakers for selling vehicles that did not meet safety standards.,https://www.koreatimes.co.kr/www/tech/2024/05/129_370984.html,Mercedes-Benz Korea - motor vehicle safety violation
VTG24-72316,KR,Shinhan Bank Co.,financial services,government-contracting-related offenses,government contracting deficiencies,2021.3.5,1862020,Financial Services Commission-Financial Supervisory Service,Shinhan Bank was fined over 2 billion won for submitting an improper solicitation to the Seoul government for installing an electronic drop box.,(click here).,Shinhan Bank Co. - government contracting deficiencies
VTG24-72434,KR,JTEKT,automotive parts,competition-related offenses,anti-competitive practices,2015.4.14,1818200,Korea Fair Trade Commission,The KFTC fined Schaeffler Korea and JTEKT for participating in an illegal cartel for automotive bearings.,https://www.ftc.go.kr/viewer/synap/skin/doc.html?fn=BBS_201712310139327500&rs=/viewer/synap/preview/,JTEKT - anti-competitive practices
VTG24-72317,KR,Hanwha Life Insurance,diversified,financial offenses,insurance violation,2020.11.23,1791956,Financial Services Commission-Financial Supervisory Service,Hanwha Life was fined 2 billion won for improper transactions with an affiliated company.,https://www.businesskorea.co.kr/news/articleView.html?idxno=55549,Hanwha Life Insurance - insurance violation
VTG24-72454,KR,Johnson & Johnson,pharmaceuticals,competition-related offenses,anti-competitive practices,2014.1.9,1780680,Korea Fair Trade Commission,The KFTC fined Johnson & Johnson for forcing opticians to sell its contact lenses at a set price.,https://www.koreatimes.co.kr/www/tech/2023/11/129_149489.html,Johnson & Johnson - anti-competitive practices
VTG24-72518,KR,Hyundai Motor,motor vehicles,safety-related offenses,motor vehicle safety violation,2023.1.10,1769537,"Korea Ministry of Land, Infrastructure and Transport-MOLIT","Hyundai Motor was fined 2.2 billion won for three violations, including a recall of 64,013 Genesis GV80s for a software error regardomg low tire pressure.",https://koreajoongangdaily.joins.com/2023/01/10/business/industry/Korea-vehicle-fine/20230110174612186.html,Hyundai Motor - motor vehicle safety violation
VTG24-72521,KR,Tesla Korea,motor vehicles,safety-related offenses,motor vehicle safety violation,2023.1.10,1769537,"Korea Ministry of Land, Infrastructure and Transport-MOLIT","Tesla Korea was fined 2.2 billion won for five violations, such as a software issue preventing the driver seat belt reminder chime from activating in 30,333 units and two models, including the Model 3.",https://koreajoongangdaily.joins.com/2023/01/10/business/industry/Korea-vehicle-fine/20230110174612186.html,Tesla Korea - motor vehicle safety violation
VTG24-72334,KR,Mirae Asset Daewoo,financial services,financial offenses,investor protection violation,2017.3.8,1735400,Financial Services Commission-Financial Supervisory Service,Mirae was fined 2 billion won for for its failure to report its sale of securities backed by Vietnam's tallest building.,https://www.spglobal.com/marketintelligence/en/news-insights/blog/banking-essentials-newsletter-23rd-august-edition,Mirae Asset Daewoo - investor protection violation
VTG24-72500,KR,Cargolux Airlines International S.A.,freight and logistics,competition-related offenses,anti-competitive practices,2010.5.28,1666027,Korea Fair Trade Commission,The KFTC fined 19 airlines for conspiring to introduce fuel surcharges and continuing to raise surcharge rates for air cargo to and from Korea between 1999 and 2007.,https://www.ftc.go.kr/viewer/synap/skin/doc.html?fn=BBS_201712310139252480&rs=/viewer/synap/preview/,Cargolux Airlines International S.A. - anti-competitive practices
VTG24-76537,KR,Apple Distribution International Limited,electrical and electronic equipment,consumer-protection-related offenses,privacy violation,2025.1.31,1664316,Personal Information Protection Commission,The Personal Information Protection Commission fined Apple for failing to comply with the legal requirements concerning cross-border transfer of personal data under the Personal Information Protection Act.,https://www.pipc.go.kr/eng/user/ltn/new/noticeDetail.do?bbsId=BBSMSTR_000000000001&nttId=2771,Apple Distribution International Limited - privacy violation
VTG24-72312,KR,UBS AG,financial services,financial offenses,investor protection violation,2023.3.12,1649846,Financial Services Commission-Financial Supervisory Service,UBS was fined over 2 billion won for violating short-selling regulations,(click here).,UBS AG - investor protection violation
VTG24-82170,KR,SK Telecom,electrical and electronic equipment,consumer-protection-related offenses,telecommunications violation,2010.6.11,1597600,Korea Communications Commission,SK Telecom was fined 2 billion won for registering users to their mobile phone protection services without offering proper explanations.,"Regulator slaps W3b fines on SKT, KT, The Korea Herland, June 11, 2020 (via Nexis).",SK Telecom - telecommunications violation
VTG24-76536,KR,Samsung Fire & Marine Insurance,financial services,competition-related offenses,anti-competitive practices,2012.5.31,1567690,Korea Fair Trade Commission,The Korean Supreme Court upheld a penalty against Samsung Fire & Marine for price fixing.,"Court upholds price-fixing fine against Samsung Fire & Marine, Korea Herald, May 31, 2012 (via Nexis).",Samsung Fire & Marine Insurance - anti-competitive practices
VTG24-72457,KR,"Tata Daewoo Commercial Vehicle Co., Ltd.",motor vehicles,competition-related offenses,anti-competitive practices,2013.7.29,1544673,Korea Fair Trade Commission,The KFTC fined a group of producers of heavy-duty commercial vehicles for price-fixing and other anti-competitive practices.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=459&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=38502","Tata Daewoo Commercial Vehicle Co., Ltd. - anti-competitive practices"
VTG24-72485,KR,Bayer Korea Ltd.,chemicals,competition-related offenses,anti-competitive practices,2011.9.5,1527025,Korea Fair Trade Commission,The KFTC fined five pharmaceutical companies for giving unlawful kickbacks to health professionals to encourage them to prescribe their drugs.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=529&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=37731",Bayer Korea Ltd. - anti-competitive practices
VTG24-72399,KR,Nichicon Co. Ltd.,electrical and electronic equipment,competition-related offenses,anti-competitive practices,2018.9.14,1496691,Korea Fair Trade Commission,The KFTC fined a group of companies for price fixing of tantalum condensers used in electronics production.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=256&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=40886",Nichicon Co. Ltd. - anti-competitive practices
VTG24-82158,KR,KT,telecommunications,consumer-protection-related offenses,telecommunications violation,2013.3.1,1475200,Korea Communications Commission,KT was fined for offering excessive subsidies to subscribers.,https://koreajoongangdaily.joins.com/2014/08/21/industry/Supersized-subsidies-lead-to-more-telecom-fines/2993881.html,KT - telecommunications violation
VTG24-79883,KR,AliExpress,information technology,consumer-protection-related offenses,privacy violation,2024.7.26,1429190,Personal Information Protection Commission,AliExpress failed to inform its users that their personal information was transferred to another country. It also undermined users' exercise of rights by making it difficult to locate the menu to unregister from the membership and providing the page to delete account in English.,https://www.pipc.go.kr/eng/user/ltn/new/noticeDetail.do?bbsId=BBSMSTR_000000000001&nttId=2602,AliExpress - privacy violation
VTG24-72484,KR,AstraZeneca Korea Ltd.,pharmaceuticals,competition-related offenses,anti-competitive practices,2011.9.5,1417349,Korea Fair Trade Commission,The KFTC fined five pharmaceutical companies for giving unlawful kickbacks to health professionals to encourage them to prescribe their drugs.,"https://www.ftc.go.kr/www/selectBbsNttView.do?pageUnit=10&pageIndex=529&searchCnd=all&key=12&bordCd=3&searchCtgry=01,02&nttSn=37731",AstraZeneca Korea Ltd. - anti-competitive practices
VTG24-72332,KR,Shinhan Financial Investment,financial services,financial offenses,investor protection violation,2018.4.12,1404807,Financial Services Commission-Financial Supervisory Service,Shinhan Financial was fined 1.5 billion won for failing to identify assets belonging to the chairman of Samsung Electronics.,https://www.koreaherald.com/view.php?ud=20180412000733,Shinhan Financial Investment - investor protection violation
VTG24-82142,KR,LG Uplus,diversified,consumer-protection-related offenses,telecommunications violation,2015.3.16,1393953,Korea Communications Commission,LG Uplus was fined KRW1.59 billion for offering illegal handset discounts.,https://www.mobileworldlive.com/asia-pacific/kcc-fines-3-mobile-players-subsidies/,LG Uplus - telecommunications violation
